id	nearc2	nearc4	educ	age	fatheduc	motheduc	weight	momdad14	sinmom14	step14	reg661	reg662	reg663	reg664	reg665	reg666	reg667	reg668	reg669	south66	black	smsa	south	smsa66	wage	enroll	married	exper
30	1	1	15	32	5	14	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	726	0	1	11
31	0	1	12	28	14	12	380166	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	604	0	1	10
32	0	1	12	32	11	12	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	693	0	1	14
35	0	1	18	34	14	13	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1400	0	1	10
36	0	1	12	26	7	12	367772	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	300	0	6	8
37	0	1	18	32	16	16	355491	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1800	0	5	8
38	0	1	12	25	11	12	357519	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	413	0	1	7
47	1	1	12	25	12	12	90339	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	208	0	1	7
53	1	1	16	24	10	10	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	824	0	1	2
55	1	1	11	28	6	10	380166	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	255	0	1	11
62	1	1	16	30	12	12	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	962	0	1	8
63	1	1	10	31	8	6	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	944	0	1	15
64	1	1	18	34	8	11	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1146	1	1	10
77	1	1	6	27	2	6	104596	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	324	0	1	15
79	1	1	11	24	6	12	102031	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	235	0	5	7
80	1	1	12	34	11	10	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1000	0	1	16
82	1	1	15	32	10	12	89826	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	624	0	1	11
83	1	1	11	34	8	10	89826	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	650	0	1	17
90	1	1	16	24	12	10	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	380	0	6	2
91	1	1	12	24	12	11	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	353	0	1	6
93	1	1	17	28	10	10	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	621	1	1	5
97	1	1	12	25	10	11	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	440	0	1	7
98	1	1	12	26	12	10	104596	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	738	0	6	8
102	1	1	11	31	5	5	158413	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	280	0	1	14
110	1	1	12	27	10	12	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	425	0	1	9
112	1	1	16	30	12	12	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	538	0	6	8
115	1	1	16	32	12	12	408301	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	740	0	1	10
116	1	1	13	32	10	12	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	673	1	1	13
119	1	1	12	34	10	10	89826	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	769	0	1	16
121	1	1	12	24	10	10	90339	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	592	0	1	6
125	1	1	9	24	12	11	102031	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	213	0	6	9
127	1	1	16	34	12	12	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1563	0	1	12
129	1	1	16	28	11	11	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	774	0	1	6
131	1	1	12	26	8	9	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	600	0	1	8
133	1	1	18	24	16	16	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	693	0	6	0
135	1	1	13	31	8	12	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	570	0	5	12
136	1	1	14	28	12	12	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	433	0	5	8
137	1	1	15	28	12	12	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	538	0	2	7
138	1	1	12	25	12	9	369567	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	627	0	6	7
139	1	1	8	31	12	11	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	481	0	1	17
141	1	1	12	26	6	11	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	545	0	1	8
142	1	1	12	25	12	9	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	576	0	1	7
144	1	1	16	25	14	12	90339	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	700	0	1	3
147	1	1	16	28	12	12	367772	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	788	0	1	6
148	1	1	17	27	12	12	367772	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1012	0	1	4
149	1	1	12	24	12	10	357519	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	758	0	1	6
150	1	1	14	29	12	16	480445	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	601	1	6	9
154	1	1	12	24	12	12	397244	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	250	0	6	6
156	1	1	12	26	10	12	367772	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	500	0	1	8
157	1	1	11	31	8	6	480445	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	550	0	1	14
158	1	1	12	25	8	6	357519	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1143	0	1	7
159	1	1	18	31	8	8	480445	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	810	0	4	7
168	1	1	16	25	9	10	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	625	1	1	3
169	1	1	14	24	16	12	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	588	1	1	4
170	1	1	14	26	12	12	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	375	1	1	6
173	1	1	16	29	14	11	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	817	0	6	7
175	1	1	14	30	15	12	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	865	0	1	10
176	1	1	15	28	12	12	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	350	0	1	7
177	1	1	13	24	12	12	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	202	0	1	5
178	1	1	13	32	16	16	367470	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	505	0	1	13
179	1	1	17	30	12	13	480445	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	816	0	1	7
181	1	1	18	26	14	12	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	625	0	6	2
182	1	1	18	32	16	16	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	769	0	6	8
183	1	1	17	27	16	17	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	500	1	6	4
188	1	1	17	27	12	8	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	619	1	1	4
194	0	1	18	28	10	12	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	769	0	1	4
195	0	1	12	26	10	12	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	512	0	1	8
196	0	1	18	31	12	13	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	625	0	1	7
197	0	1	14	31	12	12	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1111	0	1	11
198	0	1	13	28	12	12	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	721	0	1	9
199	0	1	14	32	13	12	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1154	0	1	12
201	0	1	18	34	18	18	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	827	0	6	10
204	0	1	16	34	14	12	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	923	0	1	12
205	0	1	17	28	14	17	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1076	0	1	5
213	0	1	14	24	8	12	102031	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	900	0	6	4
214	0	1	18	29	8	9	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	682	0	1	5
217	0	1	12	24	10	12	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	411	0	1	6
218	0	1	13	27	12	15	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	625	0	1	8
222	0	1	18	32	12	12	355491	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1005	0	1	8
225	0	1	11	24	9	11	357519	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	725	0	1	7
226	0	1	15	27	8	11	367772	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	750	0	1	6
229	0	1	17	29	8	12	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	972	0	1	6
232	0	1	12	26	12	12	380166	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	472	0	1	8
233	0	1	12	24	12	12	369567	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	325	0	6	6
237	0	1	13	34	9	10	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	625	0	1	15
239	0	1	12	26	8	10	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	337	0	1	8
240	0	1	16	27	5	5	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	481	0	1	5
242	0	1	16	25	5	4	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	383	0	6	3
244	0	1	18	30	15	14	533828	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	962	0	1	6
245	0	1	16	29	13	12	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	615	0	6	7
247	0	1	14	28	12	12	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	702	0	1	8
250	0	1	12	28	10	11	422407	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	200	0	4	10
252	0	1	12	27	10	10	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	817	0	1	9
254	0	1	17	26	12	12	760332	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	466	0	1	3
256	0	1	16	31	12	12	993271	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	793	1	1	9
257	0	1	14	28	12	12	760332	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	635	0	1	8
260	0	1	16	29	12	12	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	705	0	1	7
261	0	1	14	28	12	9	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	635	0	1	8
264	0	1	13	34	10	12	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	615	0	1	15
265	0	1	16	26	15	10	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	462	0	6	4
266	0	1	12	34	12	12	408301	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	865	0	1	16
267	0	1	18	33	12	12	367470	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	737	0	1	9
268	0	1	12	25	8	14	357519	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1400	0	1	7
272	0	1	16	26	11	12	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	654	0	1	4
275	0	1	16	30	8	10	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	577	0	4	8
279	0	1	16	24	10	12	410630	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	265	0	6	2
280	0	1	18	31	8	8	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	594	0	1	7
282	0	1	17	26	12	8	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	325	0	1	3
283	0	1	16	24	12	8	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	385	1	6	2
284	0	1	18	25	12	12	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1000	0	1	1
285	0	1	18	28	8	11	367772	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	465	0	6	4
286	0	1	16	28	16	18	367772	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	440	0	6	6
287	0	1	16	27	16	17	367772	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	625	0	6	5
288	0	1	17	27	11	12	92929	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	285	0	1	4
290	0	1	14	27	10	12	92929	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	650	0	1	7
291	0	1	13	25	10	12	90339	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	808	0	1	6
292	0	1	12	24	10	12	90339	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	500	0	1	6
293	0	1	16	26	14	12	367772	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	831	0	1	4
295	0	1	12	31	8	6	480445	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	500	0	1	13
297	0	1	17	32	12	12	355491	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	693	0	1	9
298	0	1	12	27	12	10	367772	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1100	0	1	9
300	0	1	12	25	8	12	357519	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	763	0	1	7
302	1	1	12	27	8	9	422407	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	795	0	1	9
304	1	1	16	25	7	8	369567	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	333	0	6	3
306	1	1	18	30	16	12	551817	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	409	0	1	6
308	1	1	12	31	8	12	496635	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	888	0	1	13
313	1	1	18	33	16	16	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	250	0	6	9
314	1	1	11	27	11	9	380166	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	625	0	6	10
315	1	1	13	31	8	12	496635	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	417	0	4	12
316	1	1	13	28	8	12	380166	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	576	0	1	9
317	1	1	12	26	12	9	104596	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	613	0	6	8
318	1	1	12	31	11	9	496635	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	700	0	1	13
320	1	1	12	24	11	9	369567	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	450	0	6	6
324	1	1	16	25	12	12	369567	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	250	0	6	3
325	1	1	12	24	12	12	369567	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	315	0	6	6
326	1	1	12	29	9	12	496635	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	375	0	1	11
333	1	1	16	32	8	9	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1115	0	1	10
335	1	1	16	25	12	14	369567	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	289	1	6	3
339	1	1	18	32	16	12	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	726	0	1	8
340	1	1	18	29	18	12	480445	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1265	0	1	5
341	1	1	17	26	18	18	104596	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	613	0	6	3
345	0	1	12	28	10	11	380166	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	545	0	6	10
346	0	1	13	28	12	8	380166	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	278	1	1	9
348	0	1	18	34	16	12	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1442	0	1	10
349	0	1	16	27	16	12	380166	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	995	0	1	5
350	0	1	12	29	11	11	496635	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	700	0	1	11
352	0	1	16	28	9	12	380166	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	577	0	1	6
353	0	1	16	31	6	12	496635	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	858	0	1	9
358	1	1	13	33	13	8	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	633	1	1	14
359	1	1	12	32	12	12	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	689	0	1	14
360	1	1	14	30	8	8	496635	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	769	0	1	10
363	1	1	15	27	12	14	367772	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	385	0	6	6
364	1	1	12	24	12	14	357519	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	450	1	6	6
366	1	1	12	27	10	12	380166	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	615	0	1	9
370	1	1	11	33	8	8	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	800	0	1	16
372	1	1	14	34	8	8	367470	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	505	0	1	14
374	1	1	18	30	12	16	496635	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1026	0	5	6
375	1	1	15	25	16	12	357519	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	769	0	6	4
377	1	1	10	32	10	14	408301	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	290	0	1	16
379	1	1	16	29	12	12	496635	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1154	0	1	7
381	1	1	12	26	8	12	380166	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	475	0	1	8
382	1	1	12	26	12	12	380166	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	450	0	1	8
385	1	1	13	26	16	16	380166	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	300	0	6	7
387	1	1	12	30	13	12	496635	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	385	0	1	12
388	1	1	15	32	16	16	355491	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1282	0	1	11
390	1	1	16	25	12	12	357519	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	588	0	6	3
391	1	1	12	27	17	16	408636	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	600	0	6	9
396	1	1	12	33	8	8	149854	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	440	0	1	15
397	0	1	18	26	13	16	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	467	1	6	2
398	0	1	17	29	14	12	496635	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	929	0	1	6
399	0	1	16	27	14	12	380166	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	556	0	1	5
400	0	1	13	24	14	12	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	438	0	6	5
402	0	1	12	29	9	10	648053	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	600	0	1	11
403	0	1	12	26	9	10	427892	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	575	0	1	8
404	0	1	12	26	9	10	427892	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	389	0	6	8
411	0	1	18	27	18	16	422310	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	471	0	1	3
412	0	1	17	26	18	16	422310	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	202	1	6	3
413	0	1	17	24	18	16	410536	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	200	1	6	1
415	0	1	17	24	15	17	410536	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	350	0	6	1
416	0	1	14	24	10	12	410536	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	375	0	6	4
419	0	1	16	25	12	9	410536	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	481	0	1	3
420	0	1	18	31	8	8	551690	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	962	0	6	7
421	0	1	15	27	12	12	422310	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	423	0	6	6
423	0	1	15	27	11	12	422310	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	500	0	6	6
425	0	1	8	28	8	9	327808	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	476	0	1	14
426	0	1	12	24	8	9	318670	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	136	0	6	6
427	0	1	12	32	10	9	345723	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	575	0	1	14
428	0	1	12	33	10	8	345723	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	577	0	1	15
429	0	1	12	31	8	9	475820	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	310	0	1	13
430	0	1	9	30	12	12	428238	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	700	0	1	15
434	0	1	10	34	12	9	408207	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	551	0	1	18
435	0	1	17	30	8	8	551690	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	881	0	1	7
439	0	1	12	25	7	12	410536	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	760	0	1	7
441	0	1	12	32	8	11	453563	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	708	0	1	14
442	0	1	12	26	8	8	422310	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	425	0	1	8
449	0	1	12	31	8	5	551690	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	500	0	1	13
450	0	1	12	28	8	5	422310	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	531	0	1	10
453	0	1	16	28	12	12	422310	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	673	1	1	6
454	0	1	16	27	12	12	422310	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	577	0	6	5
458	0	1	16	24	16	12	410536	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	325	0	6	2
461	0	1	11	29	7	11	428238	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	1	12
462	0	1	12	25	7	11	318670	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	770	0	1	7
464	0	1	12	26	7	12	327808	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	500	0	1	8
467	0	1	16	28	14	12	327808	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	391	0	1	6
468	0	1	12	34	12	10	352069	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	810	0	1	16
473	1	1	9	34	12	12	196733	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	593	0	5	19
474	1	1	17	25	12	12	100353	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	864	0	6	2
477	1	1	12	25	12	12	410536	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	510	0	1	7
479	1	1	13	34	9	12	316862	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	615	0	4	15
481	1	1	14	29	9	8	428238	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	761	0	1	9
485	1	1	16	24	12	12	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	445	0	1	2
486	1	1	12	25	8	9	369567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	425	0	1	7
487	1	1	16	24	12	12	357519	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	750	1	6	2
488	1	1	16	24	12	12	357519	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	700	0	1	2
489	1	1	12	24	9	9	357519	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	438	0	1	6
